Starter Data,Replications,Simulation Name,Population Size (n),Legal Child Limit (Z),Marriage Flag (M),Number of Generations (t),Deleterious Mutation Rate (U),Genome Size (G),Survival Penalty (s),Competition Penalty (c) ,Non-Selective Death Chance (Q),Mutation Variability (Y),Fully Recessive Chance (F),Dominance Coefficient (h),Fitness Correlation,Keep Raw Data?
Y7_preindustrial,1,Y7_modern_Z16,10000,16,TRUE,25,2.2,20000,0.00014,0.071,0,7,0,0.2,0.5,FALSE
Y7_preindustrial,1,Y7_modern_Z5,10000,5,TRUE,25,2.2,20000,0.00014,0.071,0,7,0,0.2,0.5,FALSE
Y7_preindustrial,1,Y7_modern_Z4,10000,4,TRUE,25,2.2,20000,0.00014,0.071,0,7,0,0.2,0.5,FALSE
Y7_preindustrial,1,Y7_modern_Z3,10000,3,TRUE,25,2.2,20000,0.00014,0.071,0,7,0,0.2,0.5,FALSE
Y7_preindustrial,1,Y7_modern_Z2,10000,2,TRUE,25,2.2,20000,0.00014,0.071,0,7,0,0.2,0.5,FALSE
New Simulation,1,N5000_preindustrial,5000,16,TRUE,25000,2.2,20000,0.014,0.071,0,4.35,0,0.2,0.5,TRUE
N5000_preindustrial,1,N5000_modern_Z16,5000,16,TRUE,25,2.2,20000,0.00014,0.071,0,4.35,0,0.2,0.5,FALSE
N5000_preindustrial,1,N5000_modern_Z5,5000,5,TRUE,25,2.2,20000,0.00014,0.071,0,4.35,0,0.2,0.5,FALSE
N5000_preindustrial,1,N5000_modern_Z4,5000,4,TRUE,25,2.2,20000,0.00014,0.071,0,4.35,0,0.2,0.5,FALSE
N5000_preindustrial,1,N5000_modern_Z3,5000,3,TRUE,25,2.2,20000,0.00014,0.071,0,4.35,0,0.2,0.5,FALSE
N5000_preindustrial,1,N5000_modern_Z2,5000,2,TRUE,25,2.2,20000,0.00014,0.071,0,4.35,0,0.2,0.5,FALSE
New Simulation,1,M0_preindustrial,10000,16,FALSE,25000,2.2,20000,0.015,0.07,0,4.35,0,0.2,0.5,TRUE
M0_preindustrial,1,M0_modern_Z16,10000,16,FALSE,25,2.2,20000,0.00015,0.07,0,4.35,0,0.2,0.5,FALSE
M0_preindustrial,1,M0_modern_Z5,10000,5,FALSE,25,2.2,20000,0.00015,0.07,0,4.35,0,0.2,0.5,FALSE
M0_preindustrial,1,M0_modern_Z4,10000,4,FALSE,25,2.2,20000,0.00015,0.07,0,4.35,0,0.2,0.5,FALSE
M0_preindustrial,1,M0_modern_Z3,10000,3,FALSE,25,2.2,20000,0.00015,0.07,0,4.35,0,0.2,0.5,FALSE
M0_preindustrial,1,M0_modern_Z2,10000,2,FALSE,25,2.2,20000,0.00015,0.07,0,4.35,0,0.2,0.5,FALSE
New Simulation,1,Q25_preindustrial,10000,16,TRUE,25000,2.2,20000,0.0065,0.0785,0.25,4.35,0,0.2,0.5,TRUE
Q25_preindustrial,1,Q25_modern_Z16,10000,16,TRUE,25,2.2,20000,0.000065,0.0785,0,4.35,0,0.2,0.5,FALSE
Q25_preindustrial,1,Q25_modern_Z5,10000,5,TRUE,25,2.2,20000,0.000065,0.0785,0,4.35,0,0.2,0.5,FALSE
Q25_preindustrial,1,Q25_modern_Z4,10000,4,TRUE,25,2.2,20000,0.000065,0.0785,0,4.35,0,0.2,0.5,FALSE
Q25_preindustrial,1,Q25_modern_Z3,10000,3,TRUE,25,2.2,20000,0.000065,0.0785,0,4.35,0,0.2,0.5,FALSE
Q25_preindustrial,1,Q25_modern_Z2,10000,2,TRUE,25,2.2,20000,0.000065,0.0785,0,4.35,0,0.2,0.5,FALSE
New Simulation,1,h_10_preindustrial,10000,16,TRUE,25000,2.2,20000,0.014,0.071,0,4.35,0,0.1,0.5,TRUE
h_10_preindustrial,1,h_10_modern_Z16,10000,16,TRUE,25,2.2,20000,0.00014,0.071,0,4.35,0,0.1,0.5,FALSE
h_10_preindustrial,1,h_10_modern_Z5,10000,5,TRUE,25,2.2,20000,0.00014,0.071,0,4.35,0,0.1,0.5,FALSE
h_10_preindustrial,1,h_10_modern_Z4,10000,4,TRUE,25,2.2,20000,0.00014,0.071,0,4.35,0,0.1,0.5,FALSE
h_10_preindustrial,1,h_10_modern_Z3,10000,3,TRUE,25,2.2,20000,0.00014,0.071,0,4.35,0,0.1,0.5,FALSE
h_10_preindustrial,1,h_10_modern_Z2,10000,2,TRUE,25,2.2,20000,0.00014,0.071,0,4.35,0,0.1,0.5,FALSE
New Simulation,1,h_40_preindustrial,10000,16,TRUE,25000,2.2,20000,0.0135,0.0715,0,4.35,0,0.4,0.5,TRUE
h_40_preindustrial,1,h_40_modern_Z16,10000,16,TRUE,25,2.2,20000,0.000135,0.0715,0,4.35,0,0.4,0.5,FALSE
h_40_preindustrial,1,h_40_modern_Z5,10000,5,TRUE,25,2.2,20000,0.000135,0.0715,0,4.35,0,0.4,0.5,FALSE
h_40_preindustrial,1,h_40_modern_Z4,10000,4,TRUE,25,2.2,20000,0.000135,0.0715,0,4.35,0,0.4,0.5,FALSE
h_40_preindustrial,1,h_40_modern_Z3,10000,3,TRUE,25,2.2,20000,0.000135,0.0715,0,4.35,0,0.4,0.5,FALSE
h_40_preindustrial,1,h_40_modern_Z2,10000,2,TRUE,25,2.2,20000,0.000135,0.0715,0,4.35,0,0.4,0.5,FALSE
